Date,Train Number,Train Name,Passenger Count,Freight (Tons),Revenue (INR),Punctuality (%),Distance Covered (KM),Station Origin,Station Destination
7/31/2020,40529,Train-40529,1226,835.9116409,247233.4709,72.6,1055,Station-350,Station-347
3/6/2021,73600,Train-73600,1245,1985.004109,562954.2657,76.87,854,Station-414,Station-17
6/1/2023,40374,Train-40374,1258,552.8807477,220166.916,72.98,750,Station-158,Station-81
10/28/2022,34732,Train-34732,1984,1245.458061,79126.3739,85.6,1379,Station-211,Station-170
4/4/2021,29972,Train-29972,1643,346.4089752,936306.4071,87.41,751,Station-364,Station-413
7/16/2022,17387,Train-17387,758,1666.969329,444454.0643,92.97,477,Station-64,Station-292
8/9/2023,84608,Train-84608,1295,1322.701507,574338.0278,80.56,1598,Station-439,Station-236
10/8/2020,55087,Train-55087,367,425.7501717,475506.146,94.66,1159,Station-241,Station-343
3/9/2022,94641,Train-94641,150,345.0367293,324496.8601,81.82,1901,Station-284,Station-239
9/15/2020,77790,Train-77790,1072,1395.347516,83651.00971,80.67,273,Station-303,Station-291
4/9/2023,43683,Train-43683,639,521.6971205,674095.0469,77.83,1434,Station-478,Station-448
8/21/2023,94597,Train-94597,1865,1926.831764,335619.6877,82.76,488,Station-44,
6/7/2023,28935,Train-28935,1325,6.621483801690919,450948.5587,98.7,1144,Station-131,Station-455
1/14/2023,11972,Train-11972,1883,1290.250912,833667.3109,83.42,382,Station-29,Station-356
12/24/2022,51325,Train-51325,1458,1408.528001,604757.1907,86.6,1207,Station-475,Station-310
6/3/2023,88007,Train-88007,1198,1706.897271,153209.3182,91.07,209,Station-287,Station-300
10/21/2023,16572,,1425,193.8445717,750562.0123,99.79,652,Station-354,Station-213
10/24/2024,92499,Train-92499,1038,1215.41756,374955.2126,92.63,240,Station-280,Station-306
11/5/2022,52479,Train-52479,729,267.5602585,486907.8081,80.79,516,Station-215,Station-70
1/20/2024,53493,Train-53493,648,227.325091,480600.7789,91.94,1338,Station-225,Station-2
2/28/2022,95674,Train-95674,1556,44.66035199,308641.155,84.09,1848,Station-355,Station-78
6/23/2022,37645,Train-37645,1371,716.981005,707675.8796,76.46,1658,Station-335,Station-331
5/27/2022,49483,Train-49483,1032,1516.298236,73048.5435,84.65,1099,Station-384,Station-376
1/11/2021,88456,Train-88456,1832,828.5890832,236761.5009,80.19,791,Station-187,Station-366
9/8/2021,50988,Train-50988,1462,1700.167544,694558.6228,86.56,1758,Station-254,Station-336
11/1/2020,60948,Train-60948,220,1807.819459,915863.5502,73.23,98,Station-319,Station-37
3/5/2024,28574,Train-28574,723,784.9406501,769199.846,92.53,412,Station-133,Station-100
2/18/2021,49048,Train-49048,648,1620.871347,429581.7787,75.33,471,Station-159,Station-218
10/15/2024,86943,Train-86943,360,971.1840718,521164.3134,99.41,903,Station-390,Station-393
11/24/2021,99487,Train-99487,449,1561.254129,288026.5213,78.34,1954,Station-150,Station-334
12/10/2020,52771,Train-52771,683,1969.994504,308316.8214,70.88,952,Station-394,Station-353
10/17/2020,85665,Train-85665,1196,1878.547359,214093.5377,90,1717,Station-174,Station-494
2/13/2021,53489,Train-53489,1710,473.7385307,429065.3404,70.82,356,Station-165,Station-288
2/5/2023,27476,Train-27476,1006,1823.124506,908903.6262,72.57,270,Station-204,Station-72
4/2/2024,16779,Train-16779,829,1142.347208,680838.5725,71.71,1593,Station-95,Station-333
1/2/2020,92757,Train-92757,779,1377.65709,674908.5556,87.55,1829,Station-447,Station-103
6/1/2024,52876,Train-52876,1979,168.5646985,285258.7281,86.59,250,Station-295,Station-89
12/29/2020,22656,Train-22656,1203,1118.413911,568250.9038,77.42,1431,Station-340,Station-21
12/5/2020,96030,Train-96030,1445,1424.588098,764639.7835,79.91,1940,Station-399,Station-84
1/30/2022,89470,Train-89470,871,1840.655242,125898.4178,74.64,168,Station-379,Station-352
6/27/2023,57750,Train-57750,939,188.7018755,606322.8364,88.81,457,Station-38,Station-83
9/5/2023,15210,Train-15210,1426,108.9284475,58547.24144,86.49,1891,Station-363,Station-162
11/27/2023,71717,Train-71717,1463,1985.73174,455908.4016,96.16,1763,Station-108,Station-362
8/1/2021,83592,Train-83592,834,498.0811654,189558.1757,91.12,432,Station-366,Station-197
5/25/2021,78786,Train-78786,1606,1200.646559,174009.9231,91.38,1718,Station-299,Station-332
5/2/2023,27328,Train-27328,1505,516.1756853,136186.1942,86.64,1488,Station-7,Station-485
12/15/2021,10026,Train-10026,182,1532.684358,191739.5503,77.11,1273,Station-264,Station-77
2/24/2020,78859,Train-78859,836,1525.582474,781877.1279,89.39,1890,Station-113,Station-95
6/13/2020,60698,Train-60698,620,242.3361575,376186.689,81.03,1282,Station-81,Station-346
12/9/2022,69708,Train-69708,1438,1653.146132,255459.0475,75.51,1130,Station-494,Station-449
8/29/2022,65447,Train-65447,1962,940.9817641,700869.5285,75.7,1577,Station-466,Station-366
12/5/2021,74339,Train-74339,664,50.23011623,764187.7168,86.67,531,Station-284,Station-368
6/26/2021,68324,Train-68324,1938,967.253045,528005.9008,70.42,1883,Station-467,Station-167
2/18/2021,72748,Train-72748,1299,1205.977649,817145.5813,98.36,299,Station-232,Station-498
7/9/2021,58720,Train-58720,864,1736.986829,542107.8089,81.38,678,Station-319,Station-314
7/15/2022,14944,Train-14944,601,1793.390476,513939.3369,85.52,1505,Station-44,Station-278
9/7/2024,22760,Train-22760,413,106.6078974,548552.7009,89.25,208,Station-418,Station-387
3/16/2022,55988,Train-55988,1891,960.5029853,703707.0392,87.84,938,Station-33,Station-284
9/1/2024,20827,Train-20827,1219,1572.477272,861972.6379,81.18,1127,Station-57,Station-64
3/7/2021,96468,Train-96468,1031,861.0591506,360546.2936,91.75,1023,Station-406,Station-86
7/12/2024,60579,Train-60579,730,171.171487,700119.7961,90.82,1609,Station-429,Station-443
7/10/2023,68386,Train-68386,1205,521.3783641,466428.0422,74.04,1076,Station-346,Station-497
1/12/2020,52354,Train-52354,1340,838.7529834,100881.0306,83.37,938,Station-321,Station-361
4/10/2020,19370,Train-19370,483,264.1530226,634020.5319,83.41,66,Station-248,Station-235
1/20/2023,67171,Train-67171,1319,648.0448692,207475.4344,70.61,1220,Station-164,Station-234
11/5/2022,49201,Train-49201,348,1315.046556,704035.5114,84.3,1646,Station-372,Station-136
4/19/2023,43012,Train-43012,237,1392.304189,694934.2898,94.2,883,Station-318,Station-89
12/26/2020,81372,Train-81372,1142,812.7985111,969514.7477,79.59,896,Station-130,Station-374
10/20/2020,31840,Train-31840,1181,833.3136896,301810.8846,96.65,760,Station-398,Station-482
1/11/2024,60602,Train-60602,906,666.2269355,889366.3583,99.23,677,Station-315,Station-373
7/9/2021,49053,Train-49053,289,1668.725102,731915.8732,95.8,722,Station-248,Station-24
10/29/2022,66575,Train-66575,1851,441.8234862,198555.4412,95.77,1549,Station-402,Station-450
3/26/2023,89983,Train-89983,622,1357.45374,116545.2428,72.21,930,Station-171,Station-197
11/8/2022,87773,Train-87773,1630,1556.099615,254427.0785,99.15,1956,Station-372,Station-432
12/17/2024,18754,Train-18754,507,1496.095053,677388.836,98.72,472,Station-380,Station-199
9/3/2023,67321,Train-67321,1976,33.09363576,929402.5453,78.59,741,Station-43,Station-286
1/15/2020,98155,Train-98155,1327,1707.15304,552437.7174,88.97,1695,Station-104,Station-450
5/10/2024,62666,Train-62666,1837,320.5928654,586650.3978,84.3,90,Station-94,Station-104
5/12/2020,10035,Train-10035,924,1288.119803,829682.33,99.24,218,Station-291,Station-200
1/20/2020,31623,Train-31623,1162,92.54521003,691378.4141,79.77,178,Station-391,Station-473
9/5/2023,53375,Train-53375,1396,1201.581747,54766.1564,80.34,1249,Station-224,Station-467
7/27/2022,73819,Train-73819,1335,1108.28986,589719.6273,98.1,1180,Station-102,Station-399
3/29/2022,13763,Train-13763,999,340.8577665,495965.1143,97.54,1634,Station-403,Station-189
10/27/2024,35360,Train-35360,425,1224.89867,102628.1481,97.94,1147,Station-350,Station-318
12/3/2022,51747,Train-51747,1728,988.5816755,58389.87465,99.54,1916,Station-274,Station-418
10/2/2024,18062,Train-18062,1937,1875.598509,683577.5596,81.41,629,Station-123,Station-73
12/14/2021,72603,Train-72603,704,1024.916031,908670.5985,71.92,1921,Station-355,Station-137
11/2/2023,92926,Train-92926,1455,203.808101,499147.2998,97.6,1170,Station-310,Station-498
10/11/2021,62358,Train-62358,101,1020.064684,633416.113,97.56,1884,Station-432,Station-457
4/20/2023,74506,Train-74506,1262,1666.734174,994624.7978,91.94,396,Station-1,Station-161
8/28/2023,29868,Train-29868,487,1870.420584,436381.2388,83.58,347,Station-23,Station-134
2/15/2023,26205,Train-26205,1964,895.7991241,672054.6741,71.85,1502,Station-490,Station-328
9/6/2023,23988,Train-23988,900,536.7160896,477425.1649,93.5,940,Station-89,Station-261
6/4/2022,88659,Train-88659,471,1890.279014,937871.4094,86.52,62,Station-380,Station-48
4/29/2020,68791,Train-68791,742,1333.553157,161517.8205,96.75,174,Station-50,Station-82
9/30/2022,38052,Train-38052,1182,1455.561298,331687.1793,82.05,1832,Station-96,Station-389
8/19/2021,91089,Train-91089,1887,1354.404041,846712.9137,81.53,162,Station-423,Station-228
9/8/2023,43705,Train-43705,341,80.92001459,321798.3499,71.1,289,Station-399,Station-359
5/4/2021,57960,Train-57960,1399,623.6024111,590428.5857,98.32,1737,Station-232,Station-452
10/18/2021,71355,Train-71355,1688,1693.142099,508850.7568,85.54,1773,Station-149,Station-214
9/14/2024,28440,Train-28440,244,353.6874556,100890.9794,71.82,927,Station-314,Station-271
5/17/2020,22975,Train-22975,169,714.3873231,578091.696,70.47,220,Station-244,Station-406
11/4/2024,39725,Train-39725,826,157.9228231,674716.3278,90.58,303,Station-170,Station-324
7/6/2020,56746,Train-56746,1259,799.9092411,868619.3759,81.2,1511,Station-375,Station-323
3/10/2021,69960,Train-69960,1236,1354.774598,329994.1079,98.31,1330,Station-227,Station-289
1/17/2024,95640,Train-95640,1204,1384.884595,430427.6996,78.52,1580,Station-86,Station-15
10/20/2020,54114,Train-54114,691,5.012572998,367623.0906,70.63,156,Station-292,Station-497
4/6/2020,91846,Train-91846,271,1918.365188,383090.1474,97.5,560,Station-464,Station-193
1/3/2021,12622,Train-12622,1033,846.0228552,740189.5621,71.82,606,Station-80,Station-161
11/19/2023,37821,Train-37821,1829,1249.925079,829826.2939,73.87,251,Station-190,Station-16
2/16/2023,63015,Train-63015,684,944.3395539,332779.1657,72.28,839,Station-323,Station-233
11/19/2020,77573,Train-77573,1820,1615.071536,335414.3297,95.36,1288,Station-348,Station-265
10/11/2022,46241,Train-46241,212,1183.481927,648530.3389,93.49,1253,Station-296,Station-193
1/12/2022,24180,Train-24180,487,661.8616777,431090.2728,92.86,733,Station-324,Station-490
10/29/2022,72096,Train-72096,1056,1400.133584,319686.2642,74.86,262,Station-466,Station-5
4/7/2024,46663,Train-46663,878,1429.949842,670374.1088,99.42,1490,Station-143,Station-83
6/7/2023,20512,Train-20512,1126,609.5569,460618.5148,73.51,1884,Station-118,Station-432
4/13/2023,83466,Train-83466,1254,1703.188338,894941.3449,79.91,1476,Station-172,Station-446
1/26/2023,31128,Train-31128,1779,791.08862,970205.0253,71.53,1175,Station-208,Station-386
3/26/2024,72691,Train-72691,153,17.71084762,841115.6225,94.13,93,Station-196,Station-370
5/5/2023,11391,Train-11391,1435,793.5445034,635408.0641,80.38,1710,Station-187,Station-191
5/26/2020,87367,Train-87367,1115,1784.349574,578273.9636,95.59,547,Station-16,Station-289
1/9/2020,79752,Train-79752,424,802.849309,490726.5297,81.77,60,Station-379,Station-174
6/29/2021,49832,Train-49832,1915,1768.278487,936199.864,80.81,1704,Station-232,Station-1
7/26/2020,68831,Train-68831,74,1204.029333,643805.4479,76.86,1201,Station-475,Station-125
8/9/2022,30887,Train-30887,713,1098.878994,335865.8386,76.76,856,Station-248,Station-46
5/16/2020,55819,Train-55819,1490,18.4810476,343610.8645,78.65,1990,Station-129,Station-168
1/27/2024,79534,Train-79534,1538,45.43036496,577215.2102,87.53,54,Station-84,Station-215
7/3/2022,70736,Train-70736,785,1107.820247,85831.06299,97.51,928,Station-236,Station-410
5/20/2021,48016,Train-48016,536,376.7664015,276881.9446,83.22,1415,Station-415,Station-187
5/2/2024,72756,Train-72756,1180,1595.190821,958685.2433,90.69,110,Station-209,Station-166
11/4/2024,96482,Train-96482,1189,1995.507112,449047.5483,70.52,1905,Station-23,Station-408
6/28/2023,28880,Train-28880,1645,1258.494595,945315.2912,85.47,1147,Station-392,Station-241
4/22/2021,70249,Train-70249,1804,219.757711,540650.4094,96.86,214,Station-120,Station-205
8/22/2024,29509,Train-29509,1553,1283.342895,657470.6744,79.43,481,Station-294,Station-171
10/15/2024,35668,Train-35668,546,636.8484245,692777.4947,71,228,Station-398,Station-153
2/21/2020,40861,Train-40861,1818,328.8331888,710317.6376,88.41,226,Station-413,Station-80
7/6/2023,42197,Train-42197,1690,1697.230671,907587.0542,94.35,196,Station-334,Station-100
11/23/2022,52975,Train-52975,1313,1400.581066,923425.547,90.18,566,Station-73,Station-405
5/2/2021,55296,Train-55296,1416,1604.225253,629748.5052,78.01,1451,Station-427,Station-313
11/28/2021,35872,Train-35872,722,1444.236279,823512.4121,81,1825,Station-424,Station-441
4/8/2023,75728,Train-75728,1014,146.753776,737649.4817,80.79,1314,Station-450,Station-410
12/15/2023,72350,Train-72350,1440,1267.693832,269444.0603,70.02,774,Station-420,Station-86
12/5/2023,68556,Train-68556,1150,1793.877047,101343.9924,88.81,1247,Station-415,Station-53
3/10/2020,70655,Train-70655,1792,911.8214395,545057.9694,79.22,912,Station-389,Station-410
12/31/2023,86211,Train-86211,1597,472.3561005,137612.608,73.68,849,Station-313,Station-282
9/11/2024,93861,Train-93861,1564,691.4241048,287778.6886,79.81,597,Station-360,Station-428
5/15/2023,40450,Train-40450,1841,240.2667721,750309.7696,81.24,248,Station-271,Station-238
2/23/2024,22032,Train-22032,1990,540.6790103,701564.7939,87.38,435,Station-388,Station-87
12/10/2023,76635,Train-76635,1902,1327.384344,343487.2806,99.06,407,Station-135,Station-432
4/16/2021,77508,Train-77508,283,1882.904241,933880.6551,98.56,869,Station-225,Station-230
9/15/2020,69511,Train-69511,802,1739.414637,774911.9339,85.9,454,Station-73,Station-47
3/22/2024,26972,Train-26972,808,170.3885988,390506.0947,94.26,1048,Station-483,Station-448
1/2/2024,14219,Train-14219,283,1820.713823,702058.3731,81.48,1870,Station-51,Station-465
10/3/2022,25039,Train-25039,864,759.9262215,256749.3103,94.65,997,Station-353,Station-388
5/31/2020,92830,Train-92830,844,507.0739605,967137.3676,77.7,1110,Station-289,Station-178
12/25/2022,49001,Train-49001,506,876.8738809,802755.4221,76.76,1593,Station-270,Station-120
5/21/2024,80259,Train-80259,1947,607.3623462,869961.7176,82.73,962,Station-462,Station-364
5/11/2020,14559,Train-14559,1965,1549.319315,540622.339,87.19,1675,Station-78,Station-459
11/29/2021,78885,Train-78885,64,620.2631543,291191.9493,76.98,1297,Station-202,Station-376
5/16/2024,89554,Train-89554,307,1199.145188,543597.063,82.89,412,Station-487,Station-138
9/16/2022,76962,Train-76962,1516,285.800193,336459.4575,74.68,613,Station-195,Station-13
8/19/2020,67767,Train-67767,1838,838.0052752,594710.5355,87.05,1795,Station-100,Station-195
6/1/2024,67939,Train-67939,1028,1310.498864,250565.1075,93.42,1629,Station-105,Station-469
12/31/2020,57086,Train-57086,1816,1950.869139,271807.1081,93.12,1322,Station-148,Station-111
7/5/2024,77218,Train-77218,1967,1185.524229,928899.2832,84.18,952,Station-364,Station-313
12/19/2024,69631,Train-69631,1385,926.3596814,840386.6702,73.62,707,Station-65,Station-67
4/19/2022,77969,Train-77969,1164,837.2441551,600476.3148,87.08,436,Station-460,Station-157
4/23/2024,88281,Train-88281,832,507.0950957,568492.3298,73,1509,Station-310,Station-163
12/13/2021,17460,Train-17460,334,533.928775,599787.8987,77.15,215,Station-415,Station-310
4/8/2023,66667,Train-66667,882,394.9326195,157452.3545,71.54,422,Station-287,Station-427
12/8/2022,62555,Train-62555,573,807.6953195,707197.0992,96.81,1626,Station-114,Station-99
12/8/2020,46035,Train-46035,893,1516.99436,724581.8555,90.21,299,Station-90,Station-489
3/14/2020,15851,Train-15851,1872,691.1705521,368820.6603,83.02,986,Station-92,Station-313
11/3/2021,58823,Train-58823,1307,1566.100938,331281.0212,90.25,593,Station-358,Station-381
11/2/2020,58303,Train-58303,1440,128.9844123,578437.4309,86.8,443,Station-173,Station-132
10/29/2022,87757,Train-87757,1671,1311.300519,724790.5336,88.29,1185,Station-326,Station-360
12/14/2023,30074,Train-30074,294,139.0221866,793902.7215,94.84,1853,Station-365,Station-73
11/7/2021,53257,Train-53257,91,1008.321688,973360.0886,80.54,324,Station-31,Station-228
2/22/2020,99848,Train-99848,296,1335.69365,69973.77446,78.44,1653,Station-459,Station-13
9/11/2020,45831,Train-45831,1047,615.077149,464361.7194,82.58,390,Station-236,Station-499
8/29/2021,41955,Train-41955,993,1143.360069,676049.2787,96.23,57,Station-131,Station-167
3/23/2020,97803,Train-97803,1132,392.846443,672471.2653,93.28,143,Station-429,Station-416
5/20/2023,35850,Train-35850,690,1585.158714,314548.5785,90.1,1045,Station-20,Station-53
7/4/2023,78161,Train-78161,1014,583.3846712,442656.8329,95.36,1441,Station-164,Station-478
3/31/2020,12156,Train-12156,1270,411.4730509,545597.1993,96.58,1125,Station-412,Station-417
12/19/2024,71994,Train-71994,1754,1554.812475,676929.6393,71.96,683,Station-484,Station-454
5/18/2024,76307,Train-76307,310,14.21170391,52890.28041,96.97,1229,Station-499,Station-125
7/31/2020,46408,Train-46408,1948,1842.491489,291382.9044,85.29,1467,Station-130,Station-302
5/5/2024,23677,Train-23677,1735,574.2425915,900074.8446,74.54,74,Station-126,Station-53
11/26/2020,32369,Train-32369,555,481.4566033,427456.754,70.74,1237,Station-87,Station-359
3/26/2020,53548,Train-53548,1396,348.7575518,405938.4576,90.56,832,Station-365,Station-206
2/12/2024,19569,Train-19569,1861,657.960104,244139.069,72.64,1747,Station-52,Station-438
1/17/2023,80773,Train-80773,367,1741.16455,123183.4211,99.58,1465,Station-27,Station-214
9/21/2022,90868,Train-90868,312,686.4011683,704717.2687,72.65,1124,Station-236,Station-456
2/22/2021,10576,Train-10576,519,1354.053408,961740.3271,96.79,1829,Station-401,Station-254
12/29/2023,76771,Train-76771,1392,1882.821229,177138.4336,98.08,1395,Station-394,Station-42
9/12/2023,93782,Train-93782,1621,691.4752662,612605.3918,90.15,1704,Station-273,Station-109
11/19/2023,94450,Train-94450,79,1179.92558,322218.4043,96.99,610,Station-14,Station-92
12/7/2023,96358,Train-96358,1358,654.0504086,496155.8865,97.45,831,Station-96,Station-261
10/15/2022,73535,Train-73535,1490,125.6596763,151847.8153,72.99,1103,Station-57,Station-99
8/31/2024,20799,Train-20799,703,551.8746761,61814.04099,70.54,1549,Station-434,Station-17
3/31/2024,35405,Train-35405,117,1486.491657,573462.9492,77.13,1156,Station-409,Station-482
4/12/2022,24378,Train-24378,1185,158.7757782,600608.7335,87.22,1732,Station-486,Station-288
7/30/2020,35918,Train-35918,1894,698.0188257,341643.5061,97.27,1529,Station-406,Station-342
12/9/2023,82484,Train-82484,1596,1656.519197,232143.9759,87,765,Station-219,Station-230
4/6/2021,64107,Train-64107,1062,1374.40327,278106.3074,76.7,484,Station-484,Station-124
1/4/2021,25082,Train-25082,1717,150.9476391,605136.7329,81.62,1192,Station-153,Station-23
6/20/2020,68881,Train-68881,1819,1621.087606,149860.5286,82.63,1231,Station-322,Station-286
3/17/2022,92666,Train-92666,447,1893.529613,339484.0355,97.26,1641,Station-408,Station-442
5/23/2021,18972,Train-18972,136,716.6556072,680233.5766,95.12,725,Station-142,Station-90
11/13/2020,55899,Train-55899,442,554.2207108,331811.402,89.98,457,Station-381,Station-372
8/3/2021,45930,Train-45930,1701,1961.130251,364960.7019,93.46,1932,Station-225,Station-45
1/20/2023,24652,Train-24652,1988,1746.909249,738984.5566,96.1,1369,Station-184,Station-423
6/18/2024,31698,Train-31698,210,655.478976,850514.9423,99.42,1235,Station-415,Station-214
12/20/2022,48367,Train-48367,1224,1128.878594,613514.6746,83.15,1027,Station-390,Station-122
10/24/2022,95487,Train-95487,862,1388.454998,596827.9267,88.81,1603,Station-414,Station-402
8/15/2024,70362,Train-70362,210,694.5349302,55164.7084,74.59,1136,Station-257,Station-465
4/11/2024,67056,Train-67056,810,364.5374384,468858.0549,97.89,544,Station-298,Station-230
10/2/2022,43148,Train-43148,1194,1881.189848,286720.6624,78.63,1269,Station-127,Station-375
5/6/2022,73015,Train-73015,1842,1192.026819,659065.3873,99.63,89,Station-281,Station-407
3/10/2020,94028,Train-94028,697,1282.366257,601952.817,95.19,1402,Station-432,Station-338
11/5/2020,71561,Train-71561,233,937.6203512,52789.43476,98.55,1582,Station-418,Station-420
8/21/2024,39016,Train-39016,663,1809.87058,695278.128,88.22,183,Station-341,Station-132
2/24/2021,24333,Train-24333,1673,1767.534132,546973.8903,80.57,227,Station-3,Station-238
1/21/2022,81686,Train-81686,1899,792.8881823,479531.8869,92.16,1656,Station-296,Station-377
3/20/2022,19374,Train-19374,84,886.2304999,625673.8208,92.35,674,Station-237,Station-475
1/21/2020,53650,Train-53650,595,279.428234,910459.475,76.06,901,Station-21,Station-419
4/29/2020,66992,Train-66992,422,857.3793304,282368.5696,82.69,320,Station-363,Station-258
11/10/2024,67857,Train-67857,1813,1946.180584,591300.0997,98.66,857,Station-382,Station-424
9/6/2024,30605,Train-30605,1462,52.277655,431389.7938,89.1,1019,Station-80,Station-370
4/5/2023,22579,Train-22579,917,1717.151806,528362.4867,72.36,1513,Station-132,Station-464
9/24/2024,79889,Train-79889,479,529.73557,871632.2551,83.68,1215,Station-459,Station-287
4/15/2020,27380,Train-27380,797,1621.773774,193993.8371,84.76,1574,Station-77,Station-213
7/12/2024,22333,Train-22333,536,1142.972909,850940.3529,96.11,268,Station-39,Station-161
6/24/2023,59356,Train-59356,1156,1477.018609,844522.9262,96.67,624,Station-289,Station-258
4/10/2021,12233,Train-12233,1299,1820.923367,441379.6669,87.24,1139,Station-312,Station-233
9/15/2022,81417,Train-81417,328,1927.321587,256435.8078,70.84,1396,Station-46,Station-498
6/23/2024,69499,Train-69499,275,984.1992195,550563.9292,91.85,189,Station-459,Station-119
7/8/2022,41348,Train-41348,824,1091.540059,165912.1791,83.5,1585,Station-421,Station-136
8/29/2023,18679,Train-18679,227,752.141056,197834.0709,72.09,1142,Station-222,Station-189
9/17/2022,69653,Train-69653,615,458.4185431,388394.3881,71.35,726,Station-398,Station-490
3/25/2024,57514,Train-57514,98,593.5481384,959831.2898,98.49,755,Station-237,Station-387
9/20/2023,24083,Train-24083,592,431.9347212,460827.8247,72.79,526,Station-232,Station-497
2/8/2022,93862,Train-93862,731,496.5684179,620046.5706,85.52,1692,Station-249,Station-339
1/31/2021,85069,Train-85069,1967,1562.719982,162823.8234,73.75,255,Station-98,Station-50
10/24/2023,45671,Train-45671,69,1379.70793,268261.3821,85.37,651,Station-267,Station-262
11/3/2020,77308,Train-77308,1914,1737.379605,973349.9105,74.42,1271,Station-449,Station-114
5/22/2024,44052,Train-44052,91,125.5370487,75208.33549,86.89,1765,Station-227,Station-390
8/23/2024,85241,Train-85241,174,783.3589055,219403.5743,99.28,764,Station-375,Station-409
4/11/2021,20837,Train-20837,369,1187.079957,955597.6783,91.6,1451,Station-186,Station-236
11/1/2023,74379,Train-74379,1633,1399.508915,678001.8958,77.49,62,Station-160,Station-363
12/2/2023,19372,Train-19372,476,1778.965375,366120.6464,80.21,900,Station-113,Station-102
9/10/2020,61568,Train-61568,319,713.1730066,795649.1076,91.24,89,Station-123,Station-114
7/16/2022,30619,Train-30619,1268,415.1302319,658130.2188,84.73,1813,Station-78,Station-292
3/24/2023,96001,Train-96001,1232,913.9775495,783762.4647,75.58,1133,Station-124,Station-222
2/4/2022,52221,Train-52221,993,794.8111484,834797.5287,76.61,868,Station-99,Station-113
10/22/2024,92822,Train-92822,205,940.49897,678335.7323,76.16,815,Station-263,Station-401
7/29/2022,34304,Train-34304,1228,70.76893097,898172.6756,78,656,Station-379,Station-229
7/16/2024,96765,Train-96765,1181,775.3912681,58327.39312,98.68,734,Station-77,Station-451
5/31/2022,64242,Train-64242,1945,65.45670622,947326.776,85.11,1329,Station-27,Station-215
12/30/2022,15648,Train-15648,796,367.7474942,756421.0705,96.66,753,Station-423,Station-79
6/5/2024,45506,Train-45506,1189,1379.375671,539158.8639,79.3,1262,Station-173,Station-193
10/25/2020,20933,Train-20933,1144,931.1762171,701592.3299,81.38,927,Station-323,Station-108
8/4/2020,44198,Train-44198,1262,657.470043,993280.5334,75.02,75,Station-157,Station-432
6/1/2023,73395,Train-73395,1909,204.9714505,842749.8421,77.75,687,Station-74,Station-329
9/7/2023,39011,Train-39011,418,1442.013438,881080.9315,77.19,1879,Station-10,Station-173
5/13/2023,73021,Train-73021,1357,1711.075061,622579.7523,70.38,1213,Station-460,Station-243
